AŃO,# Turistas visitastes anual,CIIU,Descripción,Altavista,Aranjuez,Belen,Buenos Aires,Castilla,Doce de Octubre,El poblado,Guayabal,La America,La Candelaria,Laureles-Estadio,Manrique,Palmitas,Popular,Robledo,San Antonio de Prado,San Cristobal,San Javier,Santa Cruz,Santa Elena,Villa Hermosa,Sin Georreferenciar
2018,881794,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",0,319,362,285,236,292,101,205,211,416,252,287,0,151,230,0,0,215,158,0,204,842
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,0,25,29,28,21,22,15,15,34,102,25,11,0,9,20,0,0,9,10,0,15,99
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",0,54,63,32,35,51,10,34,35,121,20,45,0,29,43,0,0,37,34,0,30,120
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",0,88,156,81,67,77,110,57,81,447,159,65,0,37,73,0,0,68,35,0,52,277
,,5519,Otros tipos de alojamientos para visitantes,0,2,8,2,4,0,89,1,6,38,46,0,0,0,2,0,0,2,0,0,1,33
,,5611,Expendio a la mesa de comidas preparadas,0,129,217,95,100,42,477,101,109,634,418,33,0,17,70,0,0,48,22,0,34,373
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,0,99,134,74,57,47,100,89,70,182,128,43,0,15,66,0,0,31,35,0,37,241
,,6615,Actividades de los profesionales de compra y venta de divisas,0,1,2,0,0,0,22,0,1,11,16,0,0,0,0,0,0,0,0,0,0,1
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,0,19,217,50,30,4,2037,147,77,631,425,11,0,2,21,0,0,10,2,0,10,797
,,7912,Actividades de operadores turísticos,0,5,18,9,5,4,61,6,11,37,22,2,0,0,8,0,0,7,4,0,5,49
2019,948226,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",0,321,369,277,248,310,96,211,208,431,269,295,0,180,242,0,0,203,173,0,216,903
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,0,31,44,28,23,21,25,17,35,107,25,12,0,9,20,0,0,13,10,0,19,117
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",0,53,62,24,40,44,12,36,34,115,20,45,0,34,37,0,0,32,37,0,31,137
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",0,91,194,93,71,82,112,51,94,481,179,61,0,35,77,0,0,61,44,0,53,290
,,5519,Otros tipos de alojamientos para visitantes,0,6,10,1,2,0,86,1,9,56,49,0,0,0,2,0,0,1,0,0,1,31
,,5611,Expendio a la mesa de comidas preparadas,0,153,217,95,103,45,504,123,112,667,446,31,0,17,71,0,0,47,17,0,29,385
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,0,117,165,75,58,47,105,75,83,223,146,54,0,26,72,0,0,37,40,0,49,221
,,6615,Actividades de los profesionales de compra y venta de divisas,0,1,1,0,0,0,27,0,0,14,20,0,0,0,0,0,0,0,0,0,0,2
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,0,18,239,53,33,7,2204,182,96,690,475,8,0,2,21,0,0,13,3,0,14,875
,,7912,Actividades de operadores turísticos,0,8,17,12,7,6,77,8,15,45,34,3,0,0,9,0,0,10,3,0,7,66
2020,348292,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",0,299,356,282,222,277,83,172,194,386,236,277,0,154,281,0,0,192,155,0,180,815
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,0,32,39,28,16,22,19,14,34,100,27,19,0,17,25,0,0,14,11,0,20,103
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",0,49,59,30,35,48,8,28,27,105,21,37,0,35,45,0,0,31,28,0,20,125
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",0,99,191,93,75,77,105,50,80,454,175,73,0,38,95,0,0,59,38,0,56,275
,,5519,Otros tipos de alojamientos para visitantes,0,5,7,0,1,0,70,2,7,46,35,0,0,0,1,0,0,0,0,0,1,39
,,5611,Expendio a la mesa de comidas preparadas,0,133,177,71,85,30,390,85,102,475,323,33,0,17,84,0,0,44,16,0,30,326
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,0,72,131,60,48,34,65,68,57,146,105,41,0,25,54,0,0,35,33,0,36,197
,,6615,Actividades de los profesionales de compra y venta de divisas,0,0,1,0,0,0,26,0,1,12,16,0,0,0,0,0,0,0,0,0,0,3
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,0,18,237,50,36,4,2163,187,90,690,463,13,0,1,25,0,0,12,2,0,17,862
,,7912,Actividades de operadores turísticos,0,10,18,7,6,5,53,5,13,29,27,3,0,2,6,0,0,12,3,0,8,64
2021,717480,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",35,326,433,289,261,293,103,218,215,445,252,293,7,188,264,181,113,224,175,24,244,16
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,4,31,52,24,25,19,22,20,34,123,26,17,1,15,22,29,11,12,15,1,24,0
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",6,66,79,32,42,53,15,35,27,119,25,45,0,37,50,27,17,38,28,4,41,2
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",19,118,264,101,100,96,141,71,104,485,191,78,0,40,89,56,37,62,52,8,94,5
,,5519,Otros tipos de alojamiento para visitantes,0,4,17,1,2,0,86,5,13,44,43,0,0,1,3,4,3,1,0,3,9,0
,,5611,Expendio a la mesa de comidas preparadas,13,161,257,116,97,41,455,131,106,521,391,44,2,24,88,51,34,53,23,19,89,5
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,8,101,166,72,62,34,82,84,61,136,117,55,0,31,50,28,23,32,37,4,49,4
,,6615,Actividades de los profesionales de compra y venta de divisas,0,0,0,0,0,0,23,0,1,11,16,0,0,0,0,0,0,0,0,0,1,0
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,34,32,521,115,36,6,2638,306,121,772,556,24,0,6,41,39,21,17,16,87,209,15
,,7912,Actividades de operadores turísticos,3,13,34,14,9,6,71,9,17,28,32,2,1,6,10,3,5,12,6,0,17,0
2022,1199289,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",50,334,407,292,271,315,122,234,225,474,255,290,12,200,282,172,107,243,187,40,230,24
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,5,30,43,28,23,19,34,18,29,115,33,20,1,20,24,23,15,21,12,3,25,5
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",8,64,74,37,45,54,19,34,37,117,22,38,0,33,45,33,14,40,33,13,42,4
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",22,132,259,112,103,114,166,78,116,532,199,81,0,52,98,63,33,79,57,17,80,13
,,5519,Otros tipos de alojamiento para visitantes,2,10,25,4,5,0,131,7,20,59,62,1,0,2,4,8,3,0,0,17,10,3
,,5611,Expendio a la mesa de comidas preparadas,23,160,260,137,109,40,549,143,132,569,404,55,6,26,106,64,31,68,29,52,72,25
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,10,103,133,69,63,40,100,76,68,148,101,53,1,28,58,32,13,38,45,15,54,10
,,6615,Actividades de los profesionales de compra y venta de divisas,1,0,1,0,0,0,27,0,0,12,17,0,0,0,0,0,0,2,0,0,0,0
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,58,45,420,134,67,9,3219,300,132,938,640,29,0,13,53,33,18,22,11,175,124,94
,,7912,Actividades de operadores turísticos,2,17,34,14,14,10,75,12,21,53,30,3,1,7,13,3,6,17,4,8,18,4
2023,1373234,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5519,Otros tipos de alojamiento para visitantes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5611,Expendio a la mesa de comidas preparadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6615,Actividades de los profesionales de compra y venta de divisas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,7912,Actividades de operadores turísticos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,1631891,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5519,Otros tipos de alojamiento para visitantes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5611,Expendio a la mesa de comidas preparadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6615,Actividades de los profesionales de compra y venta de divisas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,7912,Actividades de operadores turísticos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025,1751119,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5519,Otros tipos de alojamiento para visitantes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5611,Expendio a la mesa de comidas preparadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,5619,Otros tipos de expendio de comidas preparadas n.c.p.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6615,Actividades de los profesionales de compra y venta de divisas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,7912,Actividades de operadores turísticos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
